शब्द	मूल	पर्याय	मूल भाषा में	रूप	Regex	Reference
एंट्री 	आङ्ग्लभाषा	प्रवेश	entry	एन्ट्री		
एंटी	आङ्ग्लभाषा	विरुद्ध, विरोधी 	anti			
एपिसोड	आङ्ग्लभाषा	प्रकरण	episode			
एफिडेविट्	आङ्ग्लभाषा	शपथपत्र	affidavit	एफिडेविट		
एम्बुलेंस्	आङ्ग्लभाषा	रुग्णयान	ambulance	एंबुलेंस, एम्ब्युलेन्स, एम्बुलेन्स, एम्बुलेंस	^ए(म्|ं)ब(्य)?ुले(न्|ं)स(्)?$	
एर्	आङ्ग्लभाषा	वायु, पवन, आकाश, वात, समिर, 			^ए(य)?र(्)?$	
एयर्पोर्ट्	आङ्ग्लभाषा	विमानमथक	airport	एअरपोर्ट, एरपोर्ट, एयरपोर्ट		
एलची	तुर्की	पत्रवाहक, राजदूत,				
एलान	अरबी	घोषणा		ऐलान		
एलानिया	अरबी	स्पष्ट रूप से, सार्वजनिक,				
एलानेजंग	अरबी+फारसी	युद्धघोषणा				
एवज़	अरबी	प्रतिफल, स्थानापन्न,				
एवज़ी	अरबी	स्थानापन्न				
ऐवान	फारसी	राजभवन, परिषद, संसद,				
एविएशन्	आङ्ग्लभाषा	विमानन, विमानवहन, वैमानिकी, 			^एव(ि|ी)एशन(्)?$	
एहतराम	अरबी	सम्मान				
एहतशाम	अरबी	वैभव, ऐश्वर्य, प्रतिष्ठा,				
एहतिमाम	अरबी	आयोजन, प्रबंध, व्यवस्था, निरीक्षण, तत्वावधान,				
एहतिमाल	अरबी	आशंका, संदेह,				
एहतियाज	अरबी	अभाव, आवश्यकता,				
एहतियात	अरबी	सावधानी, विवेचन				
एहतियातन	अरबी	सावधानीपूर्वक, सतर्कता से,				
एहतियाती	अरबी	???				
एहतिलाम	अरबी	स्वप्नदोष				
एहतिसाब	अरबी	आत्मचिन्तन		एहतेसाब		
एहसास	अरबी	अनुभव, प्रतीति		अहसासों, अहसास, एहसासों, एहसासो		
एहसान	अरबी	अनुग्रह, कृपा		अहसान		
एहसानफ़रामोश	अरबी+फारसी	कृतघ्न		अहसानफ़रामोश		
एहसानमंद	अरबी+फारसी	कृतज्ञ		एहसानमन्द , अहसानमंद		
						
ओपरेशन्	आङ्ग्लभाषा	अभियान,	operation	ऑपरेशन, ओपरेशन		
ओहदा	अरबी	पद, पदवी, स्थान,				
ओहदेदार	अरबी+फारसी	पदाधिकारी				
						
ऐज़न	अरबी	उपर्युक्त				
ऐज़ाज़	अरबी	आदर, प्रतिष्ठा, सम्मान,				
ऐतबार	अरबी	विश्वास		एतबार , ऐतेबार		
ऐनक	अरबी	उपनेत्र				
ऐब	अरबी	दुर्गुण, दोष, त्रुटि,		ऐबों		
ऐबदार	अरबी+फारसी	दोषयुक्त, दूषित,				
ऐबी	अरबी	अधम, दुष्ट,				
ऐयार	अरबी	धूर्त, चालाक, छली,				
ऐयारी	अरबी	धूर्तता, चालाकी,				
ऐयाश	अरबी	कामुक, विषयी, व्यभिचारी,				
ऐयाशी	अरबी	विलासिता, भोग-विलास, कामुकता, लंपटता, विषयासक्ति,				
ऐरालू	अरबी	???				
ऐश	अरबी	विषयवासना, सुख,				
ऐशगाह	अरबी	विलासभवन,				
ऐशोइशरत	अरबी	समृद्धि ,				
						
औकात	अरबी	शक्ति, सामर्थ्य, पौरुष, योग्यता		ओकात		
औज़ार	अरबी	उपकरण				
औरत	अरबी	[मूल अर्थ: जननांग, नग्नता] स्त्री, नारी, महिला		औरते, औरतें, औरतों, औरतो		
औलाद	अरबी	सन्तान, वंशज		औलादें, औलादे, औलादो, औलादों		
औलिया	अरबी	???				
औसत	अरबी	माध्य, मध्यमान, मध्यम, सामान्य, साधारण				
औसतन	अरबी	सामान्यतः, लगभग				
औसान	फारसी	संज्ञा, बुद्धि,				
औसाफ़	अरबी	गुण				
						
ओटो	आङ्ग्लभाषा	स्वतः, ???	auto	ऑटो		
ओफिस्	आङ्ग्लभाषा	कार्यालय	office	ऑफिस, ओफिस		
ओफिसर्	आङ्ग्लभाषा	अधिकारी	officer	ऑफिसर, ओफिसर		
						
क्योर्	आङ्ग्लभाषा	शम, उपचार, स्वस्थ	cure	क्योर		
क्रैकर्	आङ्ग्लभाषा	पटाखा	cracker	क्रैकर, 		
क्रैकर्स्	आङ्ग्लभाषा	पटाखे	crackers	क्रैकर्स		
क्लास्	आङ्ग्लभाषा	वर्ग	class	क्लास		
क्लिनिक् 	आङ्ग्लभाषा	चिकित्सालय, रुग्णालय, 	clinic	क्लिनिक		
क्लियर्	आङ्ग्लभाषा	स्पष्ट, उत्तीर्ण,	clear	क्लियर		
कँगूरा	फारसी	शिखर, चोटी,				
कंघीसाज़	फारसी	???				कंघी बनाने वाला कारीगर
कचकोल	फारसी	भिक्षापात्र				
कज्ज़ाक	तुर्की	लुटेरा, डाकू		कजाक		
कज्ज़ाकी	तुर्की	लूट, कपट, छल,				
कज़ा	अरबी	मृत्यु, न्याय, आदेश, भाग्य,				
कज़िया	अरबी	विवाद,				
कत्ल	अरबी	हत्या, वध, संहार			^कत(्)?ल$	
कत्लगाह	अरबी+फारसी	वधस्थल			^कत(्)?लगाह$	
क़त्लेआम	अरबी+फारसी	नरसंहार, हत्याकाण्ड			^कत(्)?लेआम$	
कतई	अरबी	कदापि, पूर्ण				
कतरा	अरबी	बून्द	قَطْرَة			
कता	अरबी	बनावट, शैली, आकार,				
कतार	अरबी	पङ्क्ति		कतारों, कतारें		
कद्दू	फारसी	???				लौकी की तरह का प्रसिद्ध गोल फल जिसकी सब्ज़ी बनती है
कद्दूकश	फारसी	???				1. एक उपकरण जिससे कद्दू आदि के छोटे-छोटे लच्छे बनाते हैं 2. कद्दू कसने, घिसने का एक उपकरण।
कदम	अरबी	डग, पग, पैर, सोपान		कदमों		
कदमबोसी	अरबी	चरणस्पर्श				
कदर	अरबी	प्रकार, मान, सम्मान, महत्व, प्रतिष्ठा		कद्र		
कदरदान	अरबी+फारसी	???		कदरदाँ, कद्रदान, कद्रदाँ		
कदीम	अरबी	अनादि, पुरातन, प्राचीन,				
कदीमी	अरबी	प्राचीन, पारंपरिक, पुरातन,				
कदीर	अरबी	शक्तिशाली, बलवान, समर्थ,				
कदूरत	अरबी	मैलापन, दुर्भाव, वैमनस्य,				
कंट्रोल्	आङ्ग्लभाषा	नियन्त्रण	control	कंट्रोल, कन्ट्रोल, कण्ट्रोल		
कंटेंट्	आङ्ग्लभाषा	वस्तु , सामग्री , संतोष,  तृप्ति, 	content	कंटेंट, कण्टेण्ट, कन्टेन्ट, 	^क(ो|ॉ)?(न्|ं|ण्)टे(न्|ं|ण्)ट(्)?$	
कंटेनर्	आङ्ग्लभाषा	पात्र 	container	कंटेनर, कन्टेनर, कण्टेनर		
कन्फ्यूज्ड्	आङ्ग्लभाषा	विमूढ	confused	कन्फ्यूज्ड		
कन्फ्यूज	आङ्ग्लभाषा	भ्रमित 	confuse	कंफ्यूज		
कन्फ्यूजन्	आङ्ग्लभाषा	भ्रम, भ्रान्ति,	confusion 	कन्फ्यूजन		
कन्वर्जन्	आङ्ग्लभाषा	परिवर्तन, मतान्तरण, रूपान्तरण	conversion 	कन्वर्जन, कन्वर्शन,  		
कन्वर्ट्	आङ्ग्लभाषा	परिवर्तित, मतान्तरित, रूपान्तरित	convert	कन्वर्ट		
कन्वर्टेड्	आङ्ग्लभाषा	परिवर्तित, मतान्तरित, रूपान्तरित	converted	कन्वर्टेड		
कनीज	फारसी	परिचारिका, सेविका,				
कनेक्शन	आङ्ग्लभाषा	जोड, सम्पर्क, सम्बन्ध, संयोजन, योग, 	connection 		^कनेक्शन(्|्स्|्स)?$	
कप्तान्	आङ्ग्लभाषा	नायक, नेता,  अध्यक्ष, सैन्याध्यक्ष, नौपति, व्यूहपति, 	captain 	कप्तान		
कफन्	अरबी	शववस्त्र		कफन		
कफ़नखसोट	अरबी	लोभी				
कफ़नी	अरबी	???				
कफ़स	अरबी	पिंजरा, देह, शरीर,				
कब्ज़	अरबी	अधिकार, अवरोध, पकड़, कोष्ठबद्धता, अजीर्ण, मलावरोध				
क़ब्ज़ा	अरबी	अधिकार, नियन्त्रण		कब्जे, कब्जाने , कब्जाके		
कब्ज़ियत	अरबी	कोष्ठबद्धता, मलावरोध,				
कब्ज़ुलवसूल	अरबी	प्राप्तिपत्र				
कब्र	अरबी	समाधि				
कब्रगाह	अरबी	समाधि स्थल , समाधिस्थान				
कब्रस्तान	अरबी+संस्कृत	समाधिस्थान, श्मशान		कबरिस्तान, कब्रिस्तान		
कबा	अरबी	???				
कबाब	अरबी	मांस				
कबाबी	अरबी	मांसाहारी				
कबायली	अरबी	???				
कबाला	अरबी	विक्रयपत्र, अधिकारपत्र,				
कबाहत	अरबी	अनिष्ट, आपत्ति, कठिनता,				
कबीर	अरबी	श्रेष्ठ, उत्तम, महान, सम्मानित,				
कबील	अरबी	समुदाय, जाति, वर्ग,				
कबीला	अरबी	जनजातीय समूह, कुटुंब,			^कब(ि|ी)ल(ा|े|ें|ेँ|ो|ों|ोँ)$	
कबूद	फारसी	नीला, नीलवर्ण,				
कबूल	अरबी	स्वीकार		कुबूल		
कबूलना	अरबी	स्वीकार करना, मान लेना				
कबूलनामा	अरबी	स्वीकृति		कबूलनामे		
कबूलसूरत	अरबी	सुमुख, लावण्यानन, प्रियदर्शन,				
कबूला	अरबी	स्वीकारा				
कबूलियत	अरबी	स्वीकृति,				
कब्र	अरबी	???		कब्रों, कब्रो,		
कब्रिस्तान	अरबी+फारसी	श्मशान				
कम्पनी 	आङ्ग्लभाषा	संगठन, मण्डली, संगत, सभा, जनसमूह, 	company			
कम्पेर्	आङ्ग्लभाषा	तुलना	compare	कम्पेयर, कम्पेर		
कम	फारसी	अल्प, न्यून, थोड़ा, किञ्चित्, क्षीण				
कमाण्डर्	आङ्ग्लभाषा	अधिकारी, आज्ञापक, अधिपति, अधिष्ठाता, 	commander 	कमांडर		
कमाल	अरबी	अद्भुत, सर्वोत्तम, सम्पूर्ण, अतिशय				
कमालियत	अरबी	दक्षता, पूर्णता,				
कमजोर	फारसी	निर्बल, दुर्बल, शक्तिहीन, असमर्थ				
कमजोरी	फारसी	निर्बलता, दुर्बलता, दौर्बल्य, अबल, अशक्ति				
कमतर	फारसी	अल्पतर, न्यूनतर, लघुतर				
कमंगर	फारसी	चित्रकार , ???				
कमंगरी	फारसी	चित्रकारी, कार्यकुशलता,				कमान या धनुष बनाने वाला कारीगर; कमानसाज़ 2. खिसकी हुई हड्डियों को बैठाने वाला 3. चित्रकार; चितेरा; मुसौवर
कमंचा	फारसी					कमान बनाने का पेशा या हुनर 2. खिसकी हुई हड्डियों को बैठाने का काम 3. चित्रकारी; मुसौवरी 4. कार्यकुशलता; कारीगरी
कमबख्त	फारसी	दुर्भाग्य, अभागा, मंदभाग्य		कम्बख्त, कम्बखत		बढ़ई के कमान की तरह का एक टेढ़ा औज़ार जिसमें बँधी रस्सी को बरमे में लपेटकर घुमाया जाता है।
कमान	आङ्ग्लभाषा	नियन्त्रण, आदेश				
कमी	फारसी	अभाव, अवगुण		कमियाँ, कमियां, कमियों		
कमीज़	अरबी	???				
कमीन	अरबी	घात				
कमीना	फारसी	दुष्ट, अधम, निकृष्ट				
कमीशन्	आङ्ग्लभाषा	आयोग, नियुक्ती, शुल्क, 	commission 	कमीशन		
कमिश्नर्	आङ्ग्लभाषा	नियोगी, नियुक्त, अधिकारी, 	commissioner	कमीश्नर, कमीशनर, कमीश्नर्, कमिशनर, 		
कमून	अरबी	जीरा				
कमेन्ट्	आङ्ग्लभाषा	टीका, टिप्पणी, 	comment	कमेंट, कमेंट्स, कॉमेंट, कॉमेंट्स, कमेन्ट, 		
कय्यूम	अरबी	स्थायी, दृढ़, पक्का,				
कयाम	अरबी	ठहराव, निश्चय, स्थिरता,				
कयामत	अरबी	प्रलय, विपत्ति,				
कयास	अरबी	अनुमान, कल्पना, ध्यान,				
कयासी	अरबी	अनुमानित, काल्पनिक,				
कर्ज़	अरबी	ऋण		कर्जा,		
कर्ज़ख़्वाह	अरबी	ऋणेच्छुक				
कर्जदार	अरबी	ऋणी				
कराबत	अरबी	समीपता, संबंध,				
करामत	अरबी	प्रतिष्ठा, महत्ता, अनुग्रह, कृपा, चमत्कार, सिद्धि,				
करामात	अरबी	चमत्कार, सिद्धि , अचरज,				
करामाती	अरबी	ऐंद्रजालिक, सिद्ध, चमत्कारी,		करामती		
करार	अरबी	प्रतिज्ञा, धैर्य, स्थिरता , संतोष,				
करारा	अरबी+फारसी	कठोर				
करारी	अरबी+फारसी	कठोर				
करावल	तुर्की	अश्वारोही				
कराहत	अरबी	घृणा,				
करीन	अरबी	संगत, समान, तुल्य,				
करीना	अरबी	क्रम, ढंग, समानता				
करिश्मा	फारसी	चमत्कार				
करीब	अरबी	समीप, निकट, लगभग				
करीबी	अरबी	संबंधी, समीपवर्ती				
करीम	अरबी	कृपालु, दयालु, उदार, क्षमाशील,				
कल्ब	अरबी	हृदय, मन				
कल्बी	अरबी	हार्दिक				
कलई	अरबी	लेप, मिथ्यावरण,				
कलक	अरबी	दुख				
कलगा	तुर्की	जटाधारी				
कलगी	तुर्की	गुच्छा, चोटी, शिखर, शिखा,				
कलंदर	अरबी	???				
कलंदरी	अरबी	???				
कलफ़	अरबी	???				
कलमा	अरबी	???				
कलाबत्तू	तुर्की	???				
कलाम	अरबी	वाक्य, कथन, वाणी, वचन, प्रतिज्ञा,		कलामे		
कलामुल्लाह	अरबी	अल्लाह का वाक्य				
कलिया	अरबी	मांस				
कलीसा	ग्रीक	गिरजाघर				
कलीम	अरबी	वक्ता				
कलीमुल्लाह	अरबी	अल्लाह से बात करने वाला				
क़लील	अरबी	थोड़ा, छोटा, तनिक, अलप, न्यून, ह्रस्व				
कव्वाल	अरबी	गायक				
कव्वाली	अरबी	गीत				
कवाम	अरबी	रस				
क़वायद	अरबी	नियमावली, कार्यविधि, सैन्यव्यायाम				
कवेला	अरबी	???				
कश्का	अरबी	तिलक				
कश्ती	फारसी	नौका, नाव, नैया		कश्तियाँ, कस्ती, कश्तिया, कश्तियां		
कशमकश	फारसी	दुविधा, असमञ्जस		कश्मकश		
कशिश	फारसी	आकर्षण, वैमनस्य				
कस्द	अरबी	संकल्प, निश्चय, कामना, इच्छा,				
कस्दन	अरबी	निश्चयपूर्वक				
कस्बा	अरबी	गाँव				
कस्साब	अरबी	मांसविक्रेता,				
कसब	अरबी	कौशल, परिश्रम, व्यवसाय, अर्जन, वेश्यावृत्ति,				
कसबाती	अरबी	नगरवासी, नागरिक,				
कसबी	अरबी	वेश्या				
कसम	अरबी	प्रतिज्ञा, शपथ,		कसमें,		
कसर	अरबी	अभाव, त्रुटि, न्यूनता, दोष				
कसरत	अरबी	व्यायाम				
कसरती	अरबी	???				
कसाई	अरबी	निर्दय, निष्ठुर,				
कसाफ़त	अरबी	मैलाप, स्थूलता				
कसाबा	अरबी	???				
कसालत	अरबी	आलस्य, शैथिल्य, थकावट, अनुत्साह,				
कसीदा	अरबी	गुणगान, आकृष्ट, अप्रसन्न,		कसीदे		
कसीर	अरबी	प्रचुर				
क़सूर	अरबी	दोष, अपराध, भूल		क़ुसूर		
कसूरवार	अरबी+फारसी	अपराधी, दोषी,		क़ुसूरवार		
क़हर	अरबी	सङ्कट, आपत्ति				
कागज	फारसी	पत्र, कार्पास, कार्पासिकपत्र				
कागज़ात	अरबी	???				
कागज़ी	अरबी	अव्यावहारिक, औपचारिक,				
काज़ी	अरबी	न्यायकर्ता मौलवी				
कातिब	अरबी	लेखक, लिपिक,				
कातिल	अरबी	हत्यारा		कातिलों		
कातिलाना	अरबी+फारसी	प्राणघातक				
कानून	अरबी	विधान, अधिनियम	قانون	कानूनो, कानूनों		
कानूनन	अरबी	नियमतः, नियमानुसार,				
कानूनी	अरबी	वैध, वैधानिक, न्यायसङ्गत				
काफ़िया	अरबी	अंत्यानुप्रास				
काफ़िर	अरबी	महम्मदवाद को न मानाने वाला				
काफ़िरी	अरबी	???				
क़ाफ़िला	अरबी	सार्थवाह, रक्षक दल		काफिले		
काफ़ी	अरबी	पर्याप्त, बहुत				
काबिज	अरबी	अधिकारी				
काबिल	अरबी	योग्य, समर्थ, विद्वान्		काबील		
काबिलियत	अरबी	योग्यता, सामर्थ्य				
काबिलेतारीफ़	अरबी	प्रशंसनीय				
काबीना	अरबी	मंत्रिमंडल, मंत्रिपरिषद,				
काबू	तुर्की	वश, नियन्त्रण, अधिकार,				
काबूची	तुर्की	द्वारपाल, स्वार्थी				
कामत	अरबी	आकार, शरीर,				
क़ामयाब	फारसी	सफल				
कामयाबी	फारसी	सफलता, सिद्धि, चरितार्थता, सिद्धार्थता, कृतार्थता		कामयाबियां		
कामिल	अरबी	पूर्ण, संपूर्ण, सब, कुल, दक्ष, निपुण,				
कायज़ा	अरबी	???				
क़ायदा	अरबी	नियम, विधान		कायदे, कायदों		
कायदेआज़म	अरबी	महानायक				
क़ायनात	अरबी	ब्रह्माण्ड				
क़ायम	अरबी	स्थिर, स्थायी				
कायममिज़ाज	अरबी	स्थिरचित्त				
कायल	अरबी	प्रशंसक,				
कारूती	अरबी	???				
कारूरा	अरबी	मूत्र				
कारोबार	फारसी	कार्य-व्यापार, उपक्रम, उद्योग				
कारोबारी	फारसी	व्यापारी, उद्योगी				
कालाबाजार	उर्दू	???				
कालाबाजारी	उर्दू	???				
कालिब	अरबी	शरीर, देह,				
काश	फारसी	इच्छा, आशा, सम्भवतः, कदाचित				
कासा	फारसी	कटोरा				
कासिद	अरबी	अप्रचलित, पत्रवाहक, दूत,				
कासिम	अरबी	वितरक, विभाजक, विभाजनकर्ता,				
कासिर	अरबी	त्रुटि, अक्षम, असमर्थ,				
काहिर	अरबी	विजयी, विजेता, अत्याचारी,				
काहिल	अरबी	कामचोर, आलसी, मंद,				
काहिली	अरबी	आलस्य, शैथिल्य, कामचोरी,				
किडनी	आङ्ग्लभाषा	बृक्क, मूत्रपिण्ड,	kidney 			
किडनैप	आङ्ग्लभाषा	अपहरण, हरण, 	kidnap			
किडनैपिंग	आङ्ग्लभाषा	अपहरण, हरण, 	kidnapping 			
किता	अरबी	टुकड़ा, खंड,				
किताब	अरबी	पुस्तक		किताबे, किताबें, किताबों, किताबो		
किताबत	अरबी	लेखन				
किताबी	अरबी	पुस्तकीय				
किंग	आङ्ग्लभाषा	राजा, नरेश, भूपति, 	king	किंग्स 		
किनारा	फारसी	तट				
किफ़ायत	अरबी	मितव्यय				
किफ़ायती	अरबी+फारसी	मितव्ययी, लाभप्रद				
किमाम	अरबी	गाढरस				
किमार	अरबी	जुआ, द्यूत, द्यूतक्रीडा,				
किमाश	अरबी	ढंग, नियम,				
किरदार	फारसी	चारित्र, स्वाभाव, वृत्ति, भूमिका		किर्दार, कर्दार		
किरमिज़	अरबी	???				
किरमिज़ी	अरबी	???				एक प्रकार का मटमैला लाल रंग 2. मटमैले रंग का घोड़ा 3. किरिमदाने का चूर्ण; बुकनी किया हुआ किरिमदाना।
किरात	अरबी	???				किरमिज़ के रंगवाला 2. मटमैले लाल रंगवाला।
किराया	अरबी	भाड़ा		किराये, किराए		
किरायेदार	फारसी	अधिवासी, परस्वामिकक्षेत्राधिवासी		किराएदार		
किरावल	तुर्की	???				
क़िल्लत	अरबी	अभाव, दुर्लभता, न्यूनता				1. सेना की वह टुकड़ी जो सेना के आगे-आगे चलती है तथा शत्रु सेना के आगमन की टोह लेती है 2. वह सैन्य टुकड़ी जो युद्ध का मैदान साफ़ करने के लिए सेना के आगे-आगे जाती है 3. बंदूक से शिकार खेलने वाला शिकारी 4. दूसरों को शिकार खिलाने वाला व्यक्ति।
क़िला	अरबी	गढ, दुर्ग		किल्ला, किल्ले, किले, कीलें		
किलिंग्	आङ्ग्लभाषा	हत्या, वध, 	 killing	किलिंग		
किस्त	अरबी	अंश, भाग, खंड, टुकड़ा,				
क़िस्म	अरबी	प्रकार, वर्ग, जाति, कोटि ,		किसम		
किस्मत	अरबी	भाग्य		किस्मतों		
किस्मतआज़माई	अरबी	भाग्यपरीक्षा				
किस्सा	अरबी	कथा, घटना, वार्ता		किस्से, किस्सों,  		
किसबत	अरबी	???				
क़ीमत	अरबी	मूल्य, प्रतिष्ठा, योग्यता		किमत		कई खानों वाली वह थैली जिसमें नाई अपने औज़ार रखते हैं।
कीमती	अरबी	मूल्यवान, महत्वपूर्ण		किमती		
कीमा	अरबी	मांस के टुकड़े				
कीमिया	अरबी	रसायनविद्या, रासायनिक क्रिया, रसायन, युक्ति,				
कुतबा	अरबी	लेख, आलेख,				
कुतुब	अरबी	पुस्तके, ध्रुवतारा,				
कुदरत	अरबी	प्रकृति				
कुदरती	अरबी	प्राकृतिक, स्वाभाविक, नैसर्गिक				
कुर्क	तुर्की	???		कुर्की		
कुर्ता	तुर्की	चोला		कुरता		
कुर्ती	तुर्की	चोली		कुरती		पूरी या आधी बाँहोंवाला बिना कॉलर का एक ढीला-ढाला परिधान जो शरीर के ऊपरी भाग को ढकता है; एक प्रकार की कमीज़।
कुर्बान	अरबी	बलि, त्याग, समर्पित		कुरबान		
कुर्बानी	अरबी	बलिदान, त्याग, समर्पण		क़ुरबानी		
कुमक	तुर्की	सैन्य आपूर्ति, अनुपूर्ति, सहायता,		कुमुक		
कुर्सी	अरबी	आसन, सत्ता		कुर्सियां , कुर्सियाँ , कुर्सीया		
कुलाँच	तुर्की	उछाल, छलांग,				
कुली	तुर्की	सेवक,				
केपिटल्	आङ्ग्लभाषा	राजधानी	capital 	कैपिटल, केपिटल		
केपेसिटी	आङ्ग्लभाषा	क्षमता	capacity 	कपैसिटी, कैपेसिटी		
केयर	आङ्ग्लभाषा	देखभाल, सावधानी, चिन्ता	care			
कुश्ती	फारसी	मल्लयुद्ध				
केटेगरी	आङ्ग्लभाषा	कोटि, श्रेणी, वर्ग,  	category 	कैटेगरी, कैटिगरी		
कोकई	तुर्की	???				
कोचिंग्	आङ्ग्लभाषा	प्रशिक्षण, 	coaching 	कोचिंग		
कोंफ्रेंस्	आङ्ग्लभाषा	सम्मेलन, सभा, परिषद, मन्त्रणा, 	conference 		^क(ो|ॉ)(न्|ं)फ्रे(न्|ं)स(्)?$	
कोन्सेप्ट्	आङ्ग्लभाषा	संकल्पना, सिद्धान्त, परिकल्पना, संप्रत्यय, धारणा,	concept 	कॉन्सेप्ट, कोन्सेप्ट, कांसेप्ट, 		
कोम्प्लेक्स्	आङ्ग्लभाषा	जटिल, मिश्रित, मनोग्रन्थि, भवनसमूह, 	complex	काम्प्लेक्स , कॉम्प्लेक्स, कॉम्पलेक्स		
कोमन्	आङ्ग्लभाषा	सामान्य, साधारण, समान,	common 	कॉमन, कोमन		
कोर्ट्	आङ्ग्लभाषा	न्यायालय	court	कोर्ट		
कोर्नर्	आङ्ग्लभाषा	कोण	corner	कोर्नर, कॉर्नर, कॉर्नर्स		
कोर्स्	आङ्ग्लभाषा	पाठ्यक्रम , मार्ग, प्रवाह, अध्ययनक्रम, 	course 	कोर्स	^क(ो|ॉ)र्स(्)?$	
कोरनिश	तुर्की	???				
कोरमा	तुर्की	???				दरबारी तहज़ीब के मुताबिक़ झुककर सलाम या बंदगी करना।
कोरिडोर्	आङ्ग्लभाषा	छन्नपथ, गलियारा 	corridor 	कॉरिडोर, कोरिडोर		
कोलेज्	आङ्ग्लभाषा	महाविद्यालय, विद्यापीठ	college 	कॉलेजो, कॉलेजों, कॉलेज		
कोशिश	फारसी	प्रयत्न, प्रयास		कोशिशें, कोशिशे, कोशिशों, कोशिशो, कोसिस		
कैंची	तुर्की	कर्त्तरी		कैंचा		
क़ैद	अरबी	बन्ध, बन्धन, कारावास				
कैदखाना	अरबी+फारसी	कारावास, कारागृह, बन्धनगार, 		कैदखाने		
कैदी	अरबी+फारसी	कारास्थ, बंदी, युद्धधृत		कैदियों		
कैरेक्टर्	आङ्ग्लभाषा	शील, चरित्र, स्वभाव, भूमिका, अक्षर, वर्ण, लक्षण, 	character	कैरेक्टर, कैरेक्टर्स		
कैलेंडर्	आङ्ग्लभाषा	पञ्चाङ्ग, तिथि-पत्र, दिनदर्शिका	calendar 	कैलेंडर		
कौम	अरबी	जाति, वंश				
						
ख़्वाजासरा	तुर्की	???				
ख्वाब	फारसी	स्वप्न		ख्वाबों, ख्वाबो, ख्ह्वाब, ख्ह्वाबो, ख्ह्वाबों		1. पुराने समय में रनिवास का हिजड़ा नौकर 2. शाही महल में अंतःपुर का दरोगा जो प्रायः नपुंसक हुआ करता था।
ख्वाहिश	फारसी	आकांक्षा, अभिलाषा, महत्त्वाकांक्षा		ख्वाहिशें, ख्वाहिशे, ख्वाहिशों, ख्वाहिशो, ख्वाईश, ख्वाइश, ख्वाइशें, ख्वाईस,		
खजाना	अरबी	कोष, धनराशि, निधि, द्रव्यसञ्चय		खजाने		
ख़जालत	अरबी	लज्जा, सङ्कोच, पश्चाताप				
खत्म	अरबी	समाप्त, नष्ट		ख़तम		
ख़त	अरबी	पत्र				
खतकिताबत	अरबी	पत्रव्यवहार				
खतरनाक	अरबी+फारसी	भयानक, भयजनक, भयावह				
खतरा	अरबी	भय, डर, सङ्कट, जोखिम		खतरे, खतरें, खतरों		
खता	अरबी	अपराध, भूल, दोष				
ख़ंजर	अरबी	कटार, छुरी				
खंद	???	???				
खफ़ा	फारसी	अप्रसन्न, असन्तुष्ट				
ख़बर	अरबी	जानकारी, ज्ञान, समाचार		खबरें, ख़बरों, खबरिया, खबरे, खबरो		
खबरदार	अरबी	सावधान, सचेत				
खयाल	अरबी	ध्यान, विचार		ख्याल, ख़यालों, ख्यालों		
खर्च	फारसी	व्यय, लागत		खर्चा, खर्चो, खर्चे, खरच		
ख़रगोश	फारसी	शशक				
खराब	अरबी	अशुभ, दूषित, दोषपूर्ण, दोषयुक्त, अवगुणयुक्‍त				
खराबी	अरबी	दोष, त्रुटि, अवगुण				
ख़रीद	फारसी	क्रय, मोल		खरीदी , खरीदारी, खरीदो , खरीदा, खरीदूंगा, खरीदूंगी, खरीदेंगे, खरीदने , खरीदकर, खरीदना, खरीदके , खरीदें, खरिदनी, खरीदनी,		
खल्क	अरबी	संसार, जगत		खलक		
खलल	अरबी	अवरोध, विघ्न, बाधा				
खलिश	फारसी	चिन्ता, पीडा				
खस्ताहाल	फारसी	दुर्दशाग्रस्त, दरिद्र				
खाक	फारसी	धूल, मिट्टी, राख				
ख़ाक़ान	तुर्की	सम्राट, राजा,				
खात्मा	अरबी	समाप्ति, अन्त		खात्मे		
ख़ातून	तुर्की	श्रीमती				
खातिर	अरबी	कारण, हेतु, प्रयोजन				
खातिरदारी	अरबी+फारसी	सत्कार, सम्मान				
खानकाह	अरबी	मठ, आश्रम, 				
ख़ानख़ानान	तुर्की	सेनापति				
खानदान	फारसी	कुल, वंश, कुटुम्ब				
खानदानी	फारसी	पैतृक, कुलीन				
ख़ामख़ाह	फारसी	व्यर्थ, मिथ्या		ख्वाह-म-ख्वाह, खामखा, खामखां		
खामियाजा	फारसी	दुष्परिणाम				
खामोश	फारसी	मौन, मूक, तूष्णीक, चुप				
खामोशी	फारसी	चुप्पी, मौन				
ख़ारिज	अरबी	अस्वीकृत				
खाविंद	फारसी	पति		खाविन्द, खावींद		
ख़ास	अरबी	विशेष	خاص			
खासकर	अरबी	विशेषतः, विशेष रूप से				
खासतौर	अरबी	विशेषतः, विशेष रूप से				
खासियत	अरबी	विशेषता		खासियतें		
ख़िज़ाँ	फारसी	पतन, पतझड़, वृद्धावस्था		ख़ज़ां		
ख़िताब	अरबी	पुरस्कार, पदवी				
ख़िदमत	अरबी	सेवा, सत्कार				
खिदमतगार	अरबी	सेलक				
खिराज	अरबी	राजस्व 				
